event,event_time_hours,local_time,demand_mw,solar_mw,wind_mw,renewable_gen_mw,residual_demand_mw,date,hour,n_intervals,avg_price_mwh,max_price_mwh,scarcity_flag_any,scarcity_flag_avg,demand_mw_num,solar_mw_num,wind_mw_num,renewable_gen_mw_num,residual_demand_mw_num,avg_price_mwh_num,max_price_mwh_num,scarcity_flag_any_num,n_intervals_num
2022 summer heat,-72,7/9/2022 20:00,"73,122","8,754","2,682","11,436","61,686",07/09/2022,21,2,513.23,597.91,1,1,73122,8754,2682,11436,61686,513.23,597.91,1.0,2.0
2022 summer heat,-71,7/9/2022 21:00,"75,537","7,986","4,202","12,188","63,349",07/09/2022,22,4,119.38,175.46,1,0,75537,7986,4202,12188,63349,119.38,175.46,1.0,4.0
2022 summer heat,-70,7/9/2022 22:00,"76,524","6,944","4,893","11,837","64,687",07/09/2022,23,4,158.18,209.0,1,1,76524,6944,4893,11837,64687,158.18,209.0,1.0,4.0
2022 summer heat,-69,7/9/2022 23:00,"77,254","6,262","5,534","11,796","65,458",07/09/2022,24,4,80.07,84.25,0,0,77254,6262,5534,11796,65458,80.07,84.25,0.0,4.0
2022 summer heat,-68,7/10/2022 0:00,"77,350","5,956","6,668","12,624","64,726",07/10/2022,1,4,69.205,75.0,0,0,77350,5956,6668,12624,64726,69.205,75.0,0.0,4.0
2022 summer heat,-67,7/10/2022 1:00,"76,367","5,239","6,784","12,023","64,344",07/10/2022,2,4,61.6125,63.79,0,0,76367,5239,6784,12023,64344,61.6125,63.79,0.0,4.0
2022 summer heat,-66,7/10/2022 2:00,"74,690","3,306","7,646","10,952","63,738",07/10/2022,3,4,56.5625,57.62,0,0,74690,3306,7646,10952,63738,56.5625,57.62,0.0,4.0
2022 summer heat,-65,7/10/2022 3:00,"71,477",341,"6,938","7,279","64,198",07/10/2022,4,4,52.605,54.09,0,0,71477,341,6938,7279,64198,52.605,54.09,0.0,4.0
2022 summer heat,-64,7/10/2022 4:00,"68,966",0,"7,194","7,194","61,772",07/10/2022,5,4,49.585,53.46,0,0,68966,0,7194,7194,61772,49.585,53.46,0.0,4.0
2022 summer heat,-63,7/10/2022 5:00,"65,428",0,"7,220","7,220","58,208",07/10/2022,6,4,49.7975,53.8,0,0,65428,0,7220,7220,58208,49.7975,53.8,0.0,4.0
2022 summer heat,-62,7/10/2022 6:00,"61,599",0,"6,460","6,460","55,139",07/10/2022,7,4,47.615,53.26,0,0,61599,0,6460,6460,55139,47.615,53.26,0.0,4.0
2022 summer heat,-61,7/10/2022 7:00,"57,842",0,"6,245","6,245","51,597",07/10/2022,8,4,44.8575,45.4,0,0,57842,0,6245,6245,51597,44.8575,45.4,0.0,4.0
2022 summer heat,-60,7/10/2022 8:00,"54,547",0,"6,004","6,004","48,543",07/10/2022,9,4,45.0575,45.22,0,0,54547,0,6004,6004,48543,45.0575,45.22,0.0,4.0
2022 summer heat,-59,7/10/2022 9:00,"51,993",0,"5,336","5,336","46,657",07/10/2022,10,4,51.0525,57.85,0,0,51993,0,5336,5336,46657,51.0525,57.85,0.0,4.0
2022 summer heat,-58,7/10/2022 10:00,"50,154",0,"5,038","5,038","45,116",07/10/2022,11,4,64.9375,70.17,0,0,50154,0,5038,5038,45116,64.9375,70.17,0.0,4.0
2022 summer heat,-57,7/10/2022 11:00,"48,756",0,"4,705","4,705","44,051",07/10/2022,12,4,75.5525,82.24,0,0,48756,0,4705,4705,44051,75.5525,82.24,0.0,4.0
2022 summer heat,-56,7/10/2022 12:00,"47,681",0,"3,956","3,956","43,725",07/10/2022,13,4,110.12,180.76,1,0,47681,0,3956,3956,43725,110.12,180.76,1.0,4.0
2022 summer heat,-55,7/10/2022 13:00,"46,934",36,"3,639","3,675","43,259",07/10/2022,14,4,251.0125,532.74,1,1,46934,36,3639,3675,43259,251.0125,532.74,1.0,4.0
2022 summer heat,-54,7/10/2022 14:00,"47,148","1,832","2,786","4,618","42,530",07/10/2022,15,4,382.09,583.03,1,1,47148,1832,2786,4618,42530,382.09,583.03,1.0,4.0
2022 summer heat,-53,7/10/2022 15:00,"50,319","6,084","1,763","7,847","42,472",07/10/2022,16,4,455.1,678.88,1,1,50319,6084,1763,7847,42472,455.1,678.88,1.0,4.0
2022 summer heat,-52,7/10/2022 16:00,"54,981","8,866","1,676","10,542","44,439",07/10/2022,17,4,746.3075,961.63,1,1,54981,8866,1676,10542,44439,746.3075,961.63,1.0,4.0
2022 summer heat,-51,7/10/2022 17:00,"59,817","9,556","1,099","10,655","49,162",07/10/2022,18,4,419.305,518.89,1,1,59817,9556,1099,10655,49162,419.305,518.89,1.0,4.0
2022 summer heat,-50,7/10/2022 18:00,"64,623","9,596",802,"10,398","54,225",07/10/2022,19,3,557.19,639.0,1,1,64623,9596,802,10398,54225,557.19,639.0,1.0,3.0
2022 summer heat,-49,7/10/2022 19:00,"69,100","9,334",956,"10,290","58,810",07/10/2022,20,4,737.7725,920.3,1,1,69100,9334,956,10290,58810,737.7725,920.3,1.0,4.0
2022 summer heat,-48,7/10/2022 20:00,"72,658","9,054","1,431","10,485","62,173",07/10/2022,21,4,234.64,388.3,1,1,72658,9054,1431,10485,62173,234.64,388.3,1.0,4.0
2022 summer heat,-47,7/10/2022 21:00,"74,808","8,672","2,162","10,834","63,974",07/10/2022,22,4,77.37,82.66,0,0,74808,8672,2162,10834,63974,77.37,82.66,0.0,4.0
2022 summer heat,-46,7/10/2022 22:00,"76,203","8,703","3,219","11,922","64,281",07/10/2022,23,4,72.2175,78.75,0,0,76203,8703,3219,11922,64281,72.2175,78.75,0.0,4.0
2022 summer heat,-45,7/10/2022 23:00,"77,192","8,386","3,959","12,345","64,847",07/10/2022,24,4,61.1375,68.23,0,0,77192,8386,3959,12345,64847,61.1375,68.23,0.0,4.0
2022 summer heat,-44,7/11/2022 0:00,"77,284","7,828","4,771","12,599","64,685",07/11/2022,1,4,50.72,54.68,0,0,77284,7828,4771,12599,64685,50.72,54.68,0.0,4.0
2022 summer heat,-43,7/11/2022 1:00,"76,646","6,024","5,688","11,712","64,934",07/11/2022,2,4,43.4,44.84,0,0,76646,6024,5688,11712,64934,43.4,44.84,0.0,4.0
2022 summer heat,-42,7/11/2022 2:00,"74,863","3,125","6,478","9,603","65,260",07/11/2022,3,4,40.6075,42.88,0,0,74863,3125,6478,9603,65260,40.6075,42.88,0.0,4.0
2022 summer heat,-41,7/11/2022 3:00,"72,044",390,"7,646","8,036","64,008",07/11/2022,4,4,41.975,42.78,0,0,72044,390,7646,8036,64008,41.975,42.78,0.0,4.0
2022 summer heat,-40,7/11/2022 4:00,"69,550",0,"9,219","9,219","60,331",07/11/2022,5,4,42.465,43.08,0,0,69550,0,9219,9219,60331,42.465,43.08,0.0,4.0
2022 summer heat,-39,7/11/2022 5:00,"65,753",0,"11,280","11,280","54,473",07/11/2022,6,4,45.5025,47.08,0,0,65753,0,11280,11280,54473,45.5025,47.08,0.0,4.0
2022 summer heat,-38,7/11/2022 6:00,"61,482",0,"11,966","11,966","49,516",07/11/2022,7,4,51.575,55.29,0,0,61482,0,11966,11966,49516,51.575,55.29,0.0,4.0
2022 summer heat,-37,7/11/2022 7:00,"57,774",0,"11,825","11,825","45,949",07/11/2022,8,4,56.2675,56.81,0,0,57774,0,11825,11825,45949,56.2675,56.81,0.0,4.0
2022 summer heat,-36,7/11/2022 8:00,"54,927",0,"11,126","11,126","43,801",07/11/2022,9,4,54.845,55.94,0,0,54927,0,11126,11126,43801,54.845,55.94,0.0,4.0
2022 summer heat,-35,7/11/2022 9:00,"52,631",0,"9,754","9,754","42,877",07/11/2022,10,4,55.5775,58.69,0,0,52631,0,9754,9754,42877,55.5775,58.69,0.0,4.0
2022 summer heat,-34,7/11/2022 10:00,"51,406",0,"7,800","7,800","43,606",07/11/2022,11,4,67.3225,76.4,0,0,51406,0,7800,7800,43606,67.3225,76.4,0.0,4.0
2022 summer heat,-33,7/11/2022 11:00,"50,713",0,"6,797","6,797","43,916",07/11/2022,12,4,78.86,94.92,0,0,50713,0,6797,6797,43916,78.86,94.92,0.0,4.0
2022 summer heat,-32,7/11/2022 12:00,"50,910",0,"6,002","6,002","44,908",07/11/2022,13,4,380.4275,653.7,1,1,50910,0,6002,6002,44908,380.4275,653.7,1.0,4.0
2022 summer heat,-31,7/11/2022 13:00,"51,250",25,"4,921","4,946","46,304",07/11/2022,14,4,541.945,744.49,1,1,51250,25,4921,4946,46304,541.945,744.49,1.0,4.0
2022 summer heat,-30,7/11/2022 14:00,"52,134","1,683","3,695","5,378","46,756",07/11/2022,15,4,347.83,389.36,1,1,52134,1683,3695,5378,46756,347.83,389.36,1.0,4.0
2022 summer heat,-29,7/11/2022 15:00,"54,713","6,009","2,524","8,533","46,180",07/11/2022,16,4,195.0475,243.91,1,1,54713,6009,2524,8533,46180,195.0475,243.91,1.0,4.0
2022 summer heat,-28,7/11/2022 16:00,"58,652","8,477","2,655","11,132","47,520",07/11/2022,17,4,89.865,98.52,0,0,58652,8477,2655,11132,47520,89.865,98.52,0.0,4.0
2022 summer heat,-27,7/11/2022 17:00,"63,508","9,344","1,918","11,262","52,246",07/11/2022,18,4,79.515,83.02,0,0,63508,9344,1918,11262,52246,79.515,83.02,0.0,4.0
2022 summer heat,-26,7/11/2022 18:00,"68,411","9,567","1,061","10,628","57,783",07/11/2022,19,4,79.075,81.5,0,0,68411,9567,1061,10628,57783,79.075,81.5,0.0,4.0
2022 summer heat,-25,7/11/2022 19:00,"72,344","9,524",746,"10,270","62,074",07/11/2022,20,4,82.5675,89.17,0,0,72344,9524,746,10270,62074,82.5675,89.17,0.0,4.0
2022 summer heat,-24,7/11/2022 20:00,"75,192","9,272","1,530","10,802","64,390",07/11/2022,21,4,91.66,99.7,0,0,75192,9272,1530,10802,64390,91.66,99.7,0.0,4.0
2022 summer heat,-23,7/11/2022 21:00,"77,216","9,381","3,057","12,438","64,778",07/11/2022,22,4,77.8975,81.98,0,0,77216,9381,3057,12438,64778,77.8975,81.98,0.0,4.0
2022 summer heat,-22,7/11/2022 22:00,"77,997","9,112","4,797","13,909","64,088",07/11/2022,23,4,67.3425,70.9,0,0,77997,9112,4797,13909,64088,67.3425,70.9,0.0,4.0
2022 summer heat,-21,7/11/2022 23:00,"78,265","8,747","6,273","15,020","63,245",07/11/2022,24,4,56.66,61.15,0,0,78265,8747,6273,15020,63245,56.66,61.15,0.0,4.0
2022 summer heat,-20,7/12/2022 0:00,"78,018","8,289","7,281","15,570","62,448",07/12/2022,1,4,44.235,47.49,0,0,78018,8289,7281,15570,62448,44.235,47.49,0.0,4.0
2022 summer heat,-19,7/12/2022 1:00,"77,533","7,406","8,504","15,910","61,623",07/12/2022,2,4,41.3525,41.99,0,0,77533,7406,8504,15910,61623,41.3525,41.99,0.0,4.0
2022 summer heat,-18,7/12/2022 2:00,"75,799","4,400","10,071","14,471","61,328",07/12/2022,3,4,40.515,41.11,0,0,75799,4400,10071,14471,61328,40.515,41.11,0.0,4.0
2022 summer heat,-17,7/12/2022 3:00,"72,847",617,"10,270","10,887","61,960",07/12/2022,4,4,40.54,42.62,0,0,72847,617,10270,10887,61960,40.54,42.62,0.0,4.0
2022 summer heat,-16,7/12/2022 4:00,"70,181",0,"11,934","11,934","58,247",07/12/2022,5,4,40.13,40.64,0,0,70181,0,11934,11934,58247,40.13,40.64,0.0,4.0
2022 summer heat,-15,7/12/2022 5:00,"66,205",0,"13,978","13,978","52,227",07/12/2022,6,4,40.525,41.03,0,0,66205,0,13978,13978,52227,40.525,41.03,0.0,4.0
2022 summer heat,-14,7/12/2022 6:00,"61,774",0,"14,488","14,488","47,286",07/12/2022,7,4,42.9775,43.35,0,0,61774,0,14488,14488,47286,42.9775,43.35,0.0,4.0
2022 summer heat,-13,7/12/2022 7:00,"57,989",0,"14,382","14,382","43,607",07/12/2022,8,4,43.8125,44.59,0,0,57989,0,14382,14382,43607,43.8125,44.59,0.0,4.0
2022 summer heat,-12,7/12/2022 8:00,"54,749",0,"13,468","13,468","41,281",07/12/2022,9,4,42.245,43.33,0,0,54749,0,13468,13468,41281,42.245,43.33,0.0,4.0
2022 summer heat,-11,7/12/2022 9:00,"52,318",0,"12,233","12,233","40,085",07/12/2022,10,4,48.9675,58.09,0,0,52318,0,12233,12233,40085,48.9675,58.09,0.0,4.0
2022 summer heat,-10,7/12/2022 10:00,"50,741",0,"10,714","10,714","40,027",07/12/2022,11,4,63.425,65.74,0,0,50741,0,10714,10714,40027,63.425,65.74,0.0,4.0
2022 summer heat,-9,7/12/2022 11:00,"49,946",0,"9,373","9,373","40,573",07/12/2022,12,4,61.97,64.67,0,0,49946,0,9373,9373,40573,61.97,64.67,0.0,4.0
2022 summer heat,-8,7/12/2022 12:00,"50,066",0,"8,954","8,954","41,112",07/12/2022,13,4,60.275,61.1,0,0,50066,0,8954,8954,41112,60.275,61.1,0.0,4.0
2022 summer heat,-7,7/12/2022 13:00,"50,541",30,"8,004","8,034","42,507",07/12/2022,14,4,94.8325,152.66,1,0,50541,30,8004,8034,42507,94.8325,152.66,1.0,4.0
2022 summer heat,-6,7/12/2022 14:00,"51,521","1,508","7,392","8,900","42,621",07/12/2022,15,4,568.7575,717.06,1,1,51521,1508,7392,8900,42621,568.7575,717.06,1.0,4.0
2022 summer heat,-5,7/12/2022 15:00,"54,281","5,482","7,061","12,543","41,738",07/12/2022,16,1,789.44,789.44,1,1,54281,5482,7061,12543,41738,789.44,789.44,1.0,1.0
2022 summer heat,-4,7/12/2022 16:00,"58,436","8,263","6,845","15,108","43,328",07/12/2022,17,4,586.675,849.35,1,1,58436,8263,6845,15108,43328,586.675,849.35,1.0,4.0
